Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.7779074	1.9716078	5.750725	-1.6912328	83.26667	67.13515	208.0	0.0	1000.0	2498.0	0.08326666666666667	0.611177	0.5430859	2.028936	-1.2112343	-0.44123104	0.12094053	0.10231483	-0.845433	-1.5182493e-07	0.02179251	-3.0110678e-07	-0.026654134	0.7690597	-0.6537509	143.57492	-98.1245	0.99999994	0.0320639	1.0	1.837877	0.123662345	30000	69.66348719596863
1	0.37323824	2.1262565	6.1692715	-2.7863333	52.033333	47.081123	158.0	0.0	1000.0	4059.0	0.06765	0.19026196	0.3485811	1.3921783	-0.9465105	4.395308	6.272115	18.253063	-7.09172	1.14977645e-08	0.033314098	-1.0172526e-09	-0.014182209	0.16306446	-0.04787869	29.37116	-6.879904	1.0320638	0.030136228	1.0	1.8381112	0.12692717	60000	138.80882024765015
2	0.050397627	1.4104042	3.7238197	-2.05995	62.333332	69.086586	246.0	0.0	1000.0	5929.0	0.06587777777777777	0.04402869	0.47890225	1.4435571	-1.3475773	5.9056215	4.9249325	19.88165	-2.7232337	2.2933023e-08	-0.0005438154	3.2552084e-08	-0.009010368	0.08224887	-0.048189025	40.64015	-5.404587	1.0622001	0.031109452	1.0	1.8382796	0.017223807	90000	207.79151344299316
3	0.43715325	1.4044129	2.9397373	-1.6478697	100.166664	85.2221	338.0	0.0	1000.0	8934.0	0.07445	0.04846255	0.32517004	0.87805444	-0.90784335	8.558498	6.492201	24.653553	-2.5819783	1.833621e-08	-0.003696108	4.0690104e-08	-0.018545622	0.04711407	-0.005309958	72.32724	-10.589558	1.0933095	0.03218019	2.0	1.83865	0.023831667	120000	277.1873621940613
4	1.3380105	2.3449092	7.3283286	-1.9203694	78.6	63.73309	201.0	0.0	1000.0	11292.0	0.07528	0.07704892	0.34307912	0.91867685	-0.8130316	8.992208	7.074646	30.313135	-5.566981	1.053288e-08	-0.0020491364	1.6276042e-08	-0.01577083	0.13118872	-0.016003095	39.63443	-8.649263	1.1254897	0.03306067	2.0	1.8393319	0.024539657	150000	346.22603058815
5	0.46167362	2.2312467	6.374013	-2.2798033	59.966667	41.6281	155.0	0.0	1000.0	13091.0	0.07272777777777778	0.0826971	0.35543135	1.3338459	-0.8160966	6.680864	6.2132998	29.967958	-3.2682729	-1.794282e-08	-0.01288669	-3.2552084e-08	-0.030644685	0.122168794	-0.036125243	26.45953	-5.4248695	1.1585504	0.034327388	22.0	1.8400348	0.0130004	180000	417.8399064540863
6	-0.21246943	2.9134493	8.589536	-4.5476375	36.466667	37.778065	119.0	0.0	1000.0	14185.0	0.06754761904761905	0.045708522	0.47355807	1.7347239	-1.1812737	3.9297402	4.950441	29.604446	-1.9528646	-5.1757367e-09	-0.0097245285	-6.1035155e-09	-0.024617992	0.14198558	-0.029079184	17.070368	-2.964448	1.1928778	0.032461524	22.0	1.8491678	0.013353785	210000	489.7075536251068
7	-0.26407167	2.8173862	8.045824	-3.294165	19.166666	18.455503	58.0	0.0	1000.0	14760.0	0.0615	-0.03610216	0.45370838	1.7310491	-1.3374609	1.6093998	3.148398	24.36456	-1.8120188	-8.002744e-09	-0.0007456848	-2.0345052e-08	-0.0017255453	0.15393756	-0.034405045	8.633391	-1.602839	1.2253393	0.026659131	2.0	1.8572016	0.0011535948	240000	559.3675572872162
8	-0.83365756	2.5438352	7.6983304	-5.1827335	22.9	27.49709	105.0	0.0	1000.0	15447.0	0.05721111111111111	-0.011737305	0.47955906	1.8429574	-1.4990121	1.7217633	3.496555	28.58244	-1.2226157	-1.2669574e-08	-0.0012933995	-2.4414062e-08	-0.0027556804	0.15299655	-0.037847154	10.784796	-2.934154	1.2519984	0.02350223	1.0	1.8577578	0.0035818298	270000	628.1887030601501
9	-0.81678647	3.2741096	9.353037	-4.6311245	20.3	22.06075	67.0	0.0	1000.0	16056.0	0.05352	-0.06306163	0.50113463	1.8661155	-1.5782747	2.0104094	3.8975773	29.7125	-1.1310438	5.410147e-09	-0.008617578	4.0690105e-09	-0.018093921	0.1744122	-0.04133624	10.456463	-3.4695482	1.2755007	0.021644235	19.0	1.8580369	0.011831014	300000	699.8674635887146
