Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.83984447	2.2680743	6.999166	-1.7531141	21.583334	24.608461	69.0	0.0	1000.0	713.0	0.023766666666666665	0.6143237	0.55761963	2.049128	-1.151616	-0.4287915	0.115805626	0.08658448	-0.83613455	2.6077032e-08	0.010838603	5.9604645e-08	-0.009844534	0.8144746	-0.6822553	28.774706	-14.960502	0.99999994	-0.031180918	1.0	1.837877	0.04069988	30000	27.447721481323242
1	1.6090895	2.934795	9.456924	-2.3197443	12.375	19.838541	89.0	0.0	1000.0	1083.0	0.01805	0.25074226	0.40875244	1.4871547	-0.99551123	1.4970506	2.3030522	12.489426	-3.7209237	0.0	0.019839164	-1.4901161e-08	0.00039815484	0.18911874	-0.04102421	9.871718	-2.7798598	0.968819	-0.027252078	1.0	1.8377055	0.052688245	60000	53.3357093334198
2	0.47882667	1.9763104	4.3982573	-2.0171068	10.208333	14.665661	52.0	0.0	1000.0	1328.0	0.014755555555555555	0.11130146	0.5246008	1.6272346	-1.372512	1.3408617	1.6258196	13.190796	-3.8843899	-1.0244548e-08	0.0026745903	-7.916242e-09	-0.005289428	0.15300883	-0.02936652	4.804141	-1.3186969	0.94156694	-0.028087795	1.0	1.8383112	0.018252272	90000	79.44158101081848
3	0.44907334	2.5608568	8.911258	-3.3201082	9.041667	13.3275385	42.0	0.0	1000.0	1672.0	0.013933333333333334	0.12568589	0.4541186	1.7066486	-1.1292722	0.86002684	1.4506768	14.1720495	-2.3530633	-6.519258e-09	-0.008894952	-1.4901161e-08	-0.017981917	0.16918662	-0.03447091	8.501771	-3.196702	0.91347915	-0.025017977	75.0	1.8386364	0.012312936	120000	112.34897327423096
4	1.1796893	2.8952334	8.503252	-2.4393897	12.583333	22.819794	102.0	0.0	1000.0	2006.0	0.013373333333333333	0.09232016	0.5569969	1.7944652	-1.4869442	1.6997018	3.8824708	23.438416	-1.7981191	1.1175871e-08	-0.01132223	2.9802322e-08	-0.024037046	0.18382111	-0.036813825	19.175407	-12.537645	0.8884612	-0.024576426	43.0	1.8248007	0.012462875	150000	142.4552936553955
5	3.7468774	3.9497695	14.16307	-1.4315174	12.208333	19.81998	73.0	0.0	1000.0	2361.0	0.013116666666666667	0.28730658	0.5931502	2.1817014	-1.4081017	1.3713673	1.9778658	21.146542	-1.9821093	1.0244548e-08	0.0024940544	1.3504177e-08	-0.0004679677	0.25900292	-0.05519256	7.4123898	-2.6836576	0.86388475	-0.027619064	2.0	1.8119826	0.008441171	180000	169.00982785224915
6	3.1352882	3.0333297	9.060979	-1.5647041	12.333333	18.110004	72.0	0.0	1000.0	2707.0	0.01289047619047619	0.4393635	0.6354529	2.18998	-1.2773434	1.1411599	2.5195107	28.09623	-1.1900969	9.313226e-10	-1.12932175e-05	-5.5879354e-09	-0.0011367451	0.29114667	-0.09505942	7.3820467	-1.9228858	0.8362657	-0.027313232	1.0	1.8112879	0.0066831578	210000	195.3601803779602
7	2.8413455	3.2725215	12.348522	-1.657057	10.125	12.574155	40.0	0.0	1000.0	2963.0	0.012345833333333334	0.2648963	0.60374343	1.8005629	-1.6643084	1.3776747	2.434088	25.336672	-1.6972576	-7.450581e-09	-0.00047765975	-1.1175871e-08	-0.00083785434	0.21168268	-0.047781274	8.541674	-4.600046	0.80895245	-0.027015269	1.0	1.8109758	0.0024328278	240000	221.84676265716553
8	1.9936962	3.2850366	9.819806	-2.3867676	5.7083335	12.531557	46.0	0.0	1000.0	3205.0	0.01187037037037037	0.32154268	0.52593756	2.042087	-1.2885057	0.7405757	0.94533294	19.785707	-1.710692	-5.5879354e-09	-0.00069877994	-2.2351742e-08	-0.00011812674	0.20201908	-0.03824702	6.4363017	-2.8962424	0.7819372	-0.026805103	1.0	1.8107266	0.0011120959	270000	248.4406669139862
9	1.9525579	2.7606316	9.052376	-1.2598442	7.875	13.510221	52.0	0.0	1000.0	3415.0	0.011383333333333334	0.22844458	0.63286054	2.2940452	-1.3748738	1.1028748	2.1900344	24.952732	-1.3200766	-1.8626451e-09	-0.00074363383	4.1909516e-09	-0.0010592926	0.17257077	-0.05134973	5.4640036	-2.4815955	0.7551321	-0.026404083	1.0	1.8105642	0.0043733167	300000	275.39931297302246
10	1.904997	3.0733995	13.326037	-1.8614204	10.708333	10.760573	38.0	0.0	1000.0	3780.0	0.011454545454545455	0.23388785	0.57428765	1.8447305	-1.1472993	1.0064422	1.9948503	24.414562	-1.7119453	1.7695129e-08	-0.00082330825	2.2351742e-08	-0.0011247862	0.15525119	-0.034564998	8.768981	-3.4944787	0.728728	-0.025730014	1.0	1.8104461	0.0015970264	330000	302.12984585762024
11	1.5500802	3.0549037	9.756207	-2.5607362	16.291666	25.517118	95.0	0.0	1000.0	4255.0	0.011819444444444445	0.2284503	0.56254125	1.8343667	-1.1027832	1.2156936	2.0722446	24.61045	-0.97212327	3.7252903e-09	-0.0009197076	1.4901161e-08	-0.0011286298	0.12889354	-0.034980007	13.15054	-5.7955246	0.702998	-0.024383068	1.0	1.8104117	0.0021116743	360000	328.829062461853
