Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	1.2072625	1.8345107	4.963356	-1.8035861	37.083332	90.29808	449.0	0.0	1000.0	1059.0	0.0353	0.5492139	0.5510131	2.0239978	-1.2550879	-0.3823136	0.11466428	0.1008755	-0.73381054	7.450581e-09	0.0091605	2.9802322e-08	-0.012322183	0.7669939	-0.59910506	142.34076	-60.6565	0.99999994	0.03203696	1.0	1.837877	0.05886396	30000	43.12451505661011
1	-0.6331366	1.3816873	1.8870661	-3.3079784	12.083333	17.272127	65.0	0.0	1000.0	1449.0	0.02415	0.10554117	0.3407595	1.1241546	-1.0640419	2.232104	3.5902789	23.9412	-6.344758	-1.3038516e-08	0.035274383	-9.313226e-09	-0.019606188	0.17375728	-0.047346905	22.949707	-11.813232	1.0320369	-0.0025132895	1.0	1.8383752	0.13651916	60000	84.32542824745178
2	0.39290416	2.7352762	8.017318	-2.7829454	17.958334	16.91025	52.0	0.0	1000.0	1961.0	0.02178888888888889	0.03648622	0.44037688	1.7239395	-1.4020191	1.8039045	0.9035995	7.4179697	-1.1901422	1.1175871e-08	-0.0105344495	2.2351742e-08	-0.021088762	0.16074522	-0.035330765	14.350582	-1.358202	1.0295236	-0.0050053596	65.0	1.8388405	0.011642421	90000	132.14940428733826
3	1.1003094	2.2086864	5.812843	-2.228593	18.083334	21.332518	71.0	0.0	1000.0	2522.0	0.021016666666666666	0.068587534	0.48552015	1.9859283	-1.3001391	2.1612384	1.120452	6.5742826	-1.3784167	5.5879354e-09	-0.0016273414	1.3038516e-08	-0.0046388833	0.1625482	-0.024497362	17.610523	-2.007823	1.0245183	-0.013077617	6.0	1.8407328	0.0050655724	120000	174.23421263694763
4	0.8475466	2.0605235	4.9472146	-2.7096233	22.791666	24.701517	101.0	0.0	1000.0	3198.0	0.02132	0.0944292	0.47817555	1.7260278	-1.0854833	2.3528068	1.7109929	8.81898	-2.1088634	-1.8626451e-08	-0.00046878867	-2.6077032e-08	-0.00045527704	0.15594096	-0.021551795	16.64891	-2.065684	1.0114406	-0.013127506	1.0	1.8400371	0.0022879094	150000	215.8316924571991
5	1.1615409	2.3716764	8.020559	-1.9908919	19.875	21.915201	63.0	0.0	1000.0	3906.0	0.0217	0.11447645	0.38728884	1.5035216	-1.0447154	2.2881343	1.9881665	11.664388	-2.3625944	-5.5879354e-09	-0.0005032872	-2.2351742e-08	-0.0008129664	0.16287759	-0.027890299	20.004644	-3.8145123	0.9983131	-0.014879525	1.0	1.839609	0.0009094232	180000	257.43602681159973
6	0.60682136	1.5467758	4.4789143	-1.8459566	14.833333	14.907121	48.0	0.0	1000.0	4309.0	0.020519047619047617	0.10468538	0.415756	1.8878386	-1.1324444	2.179355	1.7175304	11.940008	-1.4191027	-3.7252903e-09	-0.00091558974	-1.1175871e-08	-0.0053827036	0.12728272	-0.021238022	12.297977	-2.1146283	0.9834336	-0.01843661	1.0	1.8393614	0.009984648	210000	299.2232127189636
7	0.81412154	1.7715734	4.779663	-1.6511601	16.708334	18.840292	78.0	0.0	1000.0	4785.0	0.0199375	0.130769	0.40634686	1.5375487	-1.0943556	1.5783813	1.0221826	9.024381	-1.5011222	1.1175871e-08	-0.009759983	1.1175871e-08	-0.020353511	0.12533434	-0.02219608	11.17401	-1.0408897	0.964997	-0.01539278	58.0	1.8390002	0.011773499	240000	346.672438621521
8	1.4616116	2.3771129	8.788503	-1.1691515	17.833334	21.95197	75.0	0.0	1000.0	5259.0	0.019477777777777778	0.11884681	0.40427208	1.8928682	-0.9506053	1.4966633	1.2483362	9.722306	-1.7911335	0.0	-0.011347111	7.450581e-09	-0.022257328	0.106997944	-0.02097715	10.47881	-1.6639487	0.9496042	-0.014181972	74.0	1.8189602	0.012076868	270000	395.42325377464294
9	0.80052704	2.0270796	5.2723536	-2.1394207	15.5	26.501572	103.0	0.0	1000.0	5691.0	0.01897	0.15001205	0.3960984	1.9008127	-0.8856051	1.8578117	1.7427608	13.45296	-1.5535525	-3.7252903e-09	-0.0011681621	9.313226e-09	-0.0017975606	0.11732755	-0.026696607	13.990011	-2.9513278	0.93542224	-0.02231878	2.0	1.8212495	0.002133694	300000	438.0054485797882
