Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.0977815	1.3169487	2.206377	-2.7126315	10.916667	15.850648	53.0	0.0	1000.0	444.0	0.0148	0.59492534	0.51166195	2.1406343	-1.2320397	-0.4127732	0.12357769	0.4080927	-0.91637224	3.7252903e-09	0.019936286	-7.450581e-09	-0.009237039	0.72107756	-0.5917503	19.469221	-6.0504956	0.99999994	-0.031173706	1.0	1.837877	0.037577495	30000	36.48519849777222
1	0.32834694	1.3887526	3.102446	-2.482732	20.625	23.841164	108.0	0.0	1000.0	974.0	0.016233333333333332	0.09375876	0.2908912	0.9629543	-0.8781916	1.8651451	1.8025587	7.7309365	-3.1421719	1.8626451e-09	0.023216441	-1.4901161e-08	-0.0035735904	0.12244421	-0.026216926	16.38844	-2.5883417	0.96882623	-0.026250005	1.0	1.8373451	0.066149734	60000	70.86313080787659
2	1.3078433	2.1803737	7.6016493	-1.7702631	21.416666	23.925085	80.0	0.0	1000.0	1608.0	0.017866666666666666	0.058108505	0.33711708	1.0486159	-0.9369775	2.0892873	1.6184815	12.256356	-1.8211753	1.8626451e-09	0.0033837412	-5.5879354e-09	-0.006898976	0.1659348	-0.020703452	20.150219	-4.319932	0.9425762	-0.02393353	1.0	1.8379362	0.021602865	90000	106.66272926330566
3	1.1890137	1.8457329	5.015519	-1.7197587	10.416667	12.489718	45.0	0.0	1000.0	1892.0	0.015766666666666665	0.1258762	0.3345043	1.3234206	-0.9219375	1.5366186	1.9529314	17.213274	-2.6396818	-2.3283064e-09	-0.0010510827	1.1175871e-08	-0.0019005738	0.113152444	-0.0185109	8.252865	-2.479644	0.9186427	-0.025839806	1.0	1.8387444	0.001714997	120000	142.53333640098572
4	0.24204874	1.2208496	4.1382775	-1.7800273	15.0	21.42623	79.0	0.0	1000.0	2380.0	0.015866666666666668	0.10492632	0.32060608	1.2760806	-0.89628863	0.85930175	0.840122	5.5454507	-1.2115052	-7.450581e-09	-0.0006104312	-1.8626451e-08	-0.0013787	0.11366774	-0.016209522	17.8338	-5.2946997	0.8928029	-0.026210606	1.0	1.8395162	0.0041127643	150000	178.38016867637634
5	0.6770303	2.1189911	4.934804	-2.5768807	13.041667	19.240755	79.0	0.0	1000.0	2746.0	0.015255555555555555	0.057974014	0.3338778	1.0626897	-0.93475425	1.3126888	1.6301241	22.512005	-2.781729	1.3504177e-08	-0.011557873	2.4214387e-08	-0.023823727	0.13638555	-0.021545831	13.677526	-4.7303796	0.8665923	-0.023165166	57.0	1.8402188	0.012200613	180000	219.0675826072693
6	1.2904655	1.9355538	5.8005776	-1.3517523	16.541666	16.92872	70.0	0.0	1000.0	3249.0	0.015471428571428572	0.08609196	0.4032788	1.2269678	-1.2427516	1.500412	1.6302845	24.68515	-1.546039	-7.450581e-09	-0.011032041	-3.7252903e-09	-0.026864942	0.18878685	-0.036235116	18.178625	-3.262396	0.8434271	-0.023155272	29.0	1.8317689	0.013068451	210000	256.9753587245941
7	0.6237582	1.4580019	4.1246047	-1.7322159	14.458333	16.224928	52.0	0.0	1000.0	3695.0	0.015395833333333333	0.11310515	0.38911998	1.422443	-1.178978	1.5447557	1.345315	14.440707	-1.1112225	-5.5879354e-09	-0.011900116	-1.8626451e-09	-0.026304098	0.15844382	-0.036465667	12.301345	-2.1116335	0.82027185	-0.019033492	60.0	1.8136606	0.012274709	240000	298.03282928466797
8	1.0019366	2.1280427	5.197249	-2.419499	15.0	20.922476	73.0	0.0	1000.0	4227.0	0.015655555555555555	0.09725399	0.38068855	1.0298458	-1.3301344	1.2722672	1.2028828	10.345563	-2.1289346	-5.5879354e-09	-0.002239949	-5.5879354e-09	-0.008116461	0.15554982	-0.04941047	18.428448	-3.5893912	0.80123836	-0.024565041	10.0	1.7791634	0.0102754645	270000	334.58525824546814
9	0.90602463	2.2785916	5.7601695	-2.2012284	16.416666	18.931713	72.0	0.0	1000.0	4683.0	0.01561	0.10723618	0.44482028	1.7260185	-1.503116	1.9781203	1.6677235	13.401708	-1.66083	1.6763806e-08	0.0035046935	7.450581e-09	-0.0033304668	0.17500806	-0.040173247	15.154021	-4.5768337	0.7766733	-0.025074422	1.0	1.7754419	0.016979516	300000	370.4634485244751
10	1.2356147	2.8943765	10.526897	-2.5773456	17.791666	18.04157	51.0	0.0	1000.0	5211.0	0.01579090909090909	0.112641804	0.4751764	1.6396585	-1.4078505	1.6215547	1.6165234	12.70976	-1.6390854	5.5879354e-09	-0.00019668546	1.8626451e-08	-0.002920838	0.16859628	-0.041350547	14.299916	-4.336277	0.7515989	-0.024188638	1.0	1.77474	0.0075018127	330000	406.3609194755554
