Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.78955805	2.3283198	5.8344107	-2.7007208	5.3333335	8.529686	27.0	0.0	1000.0	160.0	0.005333333333333333	0.6111328	0.6572754	2.049206	-1.347542	-0.4032115	0.11351846	0.09756957	-0.813013	-1.1698404e-08	0.00051146303	-2.8483074e-08	-0.0027498435	1.0961797	-0.9119023	4.0998025	-1.1205649	0.99999994	-0.031172395	1.0	1.837877	0.00629801	30000	70.99752521514893
1	1.0009394	2.8685558	7.1718955	-2.5418758	5.7	9.420367	38.0	0.0	1000.0	331.0	0.005516666666666666	0.19224904	0.5475432	1.8032795	-1.4936934	0.40270647	0.56754947	2.598573	-1.142913	-2.647822e-09	0.03012534	4.0690105e-09	-0.0024944514	0.28119078	-0.083615035	3.3204405	-0.41380882	0.96882755	-0.030481517	1.0	1.8383403	0.09270088	60000	141.34379816055298
2	0.2663199	2.0986927	7.047332	-2.6561186	5.0	7.6724615	24.0	0.0	1000.0	481.0	0.005344444444444444	0.12427959	0.5253677	2.011741	-1.6338885	0.4755418	0.8283699	4.244149	-1.1133687	-3.3303382e-09	-0.000609766	-2.5431315e-09	-0.00040291902	0.21059094	-0.033669755	2.3214946	-0.3119154	0.938346	-0.029952765	1.0	1.8390589	0.005955597	90000	211.99213314056396
3	0.69515836	1.9457413	4.887437	-3.8726218	6.8333335	11.801365	51.0	0.0	1000.0	686.0	0.005716666666666667	0.06171696	0.536698	1.52571	-1.4417486	0.52892345	0.6767786	4.4854846	-1.066924	-9.766035e-11	-0.005512172	2.0345052e-09	-0.005169576	0.13596015	-0.021348067	4.149722	-0.895972	0.90839326	-0.0291211	79.0	1.8398045	0.00556355	120000	291.25059628486633
4	1.6641777	3.1563892	8.675985	-2.4287827	14.8	15.382675	53.0	0.0	1000.0	1130.0	0.007533333333333334	0.08801412	0.5409793	1.458168	-1.6471093	0.8263527	1.2314646	9.493082	-0.87751484	9.835925e-09	-0.010179583	4.0690104e-08	-0.019654047	0.21737123	-0.052295357	8.609661	-2.5522857	0.87927216	-0.021900594	79.0	1.8277103	0.010821961	150000	370.55635237693787
5	1.9296788	2.4364622	8.121628	-2.1523018	13.6	12.857164	44.0	0.0	1000.0	1538.0	0.008544444444444445	0.21329762	0.575414	2.0089033	-1.3508607	1.7465631	2.1890311	14.706286	-0.80103755	6.494969e-09	0.0071541737	8.138021e-09	0.001946108	0.17222373	-0.018636465	8.306492	-2.5400953	0.85737157	-0.026326478	1.0	1.8032639	0.01670585	180000	441.1904444694519
6	1.8876802	3.210809	8.7214775	-3.143282	17.433332	16.891188	50.0	0.0	1000.0	2061.0	0.009814285714285715	0.17786416	0.49822012	1.7283531	-1.5461968	1.1527784	1.3893701	13.796119	-1.274962	-1.9444546e-09	4.454916e-06	0.0	0.0004921387	0.20398925	-0.0472389	8.488808	-2.070732	0.8310451	-0.024667919	1.0	1.80271	0.0042327773	210000	512.1153702735901
7	2.7870452	3.03134	9.84576	-1.8603517	27.033333	21.412586	106.0	0.0	1000.0	2872.0	0.011966666666666667	0.27034646	0.6436524	2.4110935	-1.3889463	2.133595	1.7490197	14.567526	-1.3588275	1.8216295e-10	-0.000583032	-1.2207031e-08	-0.00015155639	0.2212221	-0.051501006	11.568638	-2.9285479	0.8063772	-0.020596385	1.0	1.8022969	0.0029301718	240000	582.8101522922516
8	2.8681333	3.614567	13.179039	-2.3595145	25.766666	22.228636	63.0	0.0	1000.0	3645.0	0.0135	0.29993916	0.5817077	1.9355881	-1.3536676	2.8475714	2.2308557	15.993414	-1.4283208	-5.6964025e-09	-0.00077077997	0.0	-0.0017508097	0.1907789	-0.037442803	13.039352	-4.003662	0.7857808	-0.017704248	1.0	1.8022643	0.00220883	270000	654.5466732978821
9	1.9160063	2.5171616	6.0283823	-2.4488723	22.266666	22.478039	107.0	0.0	1000.0	4313.0	0.014376666666666666	0.26241115	0.632204	2.02853	-1.4201028	2.4966059	2.6670082	18.559074	-1.7775041	1.3790995e-08	-0.0011530776	2.6448568e-08	-0.001540865	0.15183109	-0.030349292	11.74105	-3.3061495	0.76807654	-0.01635474	1.0	1.8019823	0.002454898	300000	728.2050628662109
10	3.0249665	3.0362039	11.4767065	-1.5514154	25.9	20.373758	96.0	0.0	1000.0	5090.0	0.015424242424242424	0.2828306	0.5634113	1.908563	-1.3156008	2.4616117	2.2519398	20.910591	-0.76521796	1.3678818e-08	0.0032427239	3.2552084e-08	-0.008479797	0.21272328	-0.03404191	11.744715	-3.7344513	0.7517218	-0.014153361	1.0	1.8014827	0.02091012	330000	798.9863300323486
11	3.0035913	3.5387132	12.987167	-1.8264701	17.366667	12.289517	43.0	0.0	1000.0	5611.0	0.015586111111111111	0.29672128	0.62562513	1.8991905	-1.5530603	2.179928	1.9041622	16.846565	-1.4782045	6.436702e-10	-0.0019022541	-8.138021e-09	-0.0019037841	0.209361	-0.04947196	6.435158	-1.5552444	0.73756844	-0.014228225	4.0	1.8010412	0.004473399	360000	869.5713057518005
