Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	1.2813739	2.1158488	6.9338055	-1.3550925	174.08333	114.85242	382.0	0.0	1000.0	5741.0	0.19136666666666666	0.52432084	0.53018695	1.9907062	-1.1355754	-0.37360227	0.12032461	0.111783355	-0.7818786	-2.2351742e-08	0.030182984	-4.4703484e-08	-0.12773745	0.6811049	-0.5765213	592.85565	-331.62775	0.99999994	0.032035768	1.0	1.837877	0.4248784	30000	42.32179355621338
1	0.34075943	1.3547984	4.6304965	-1.4738958	173.95833	105.418015	351.0	0.0	1000.0	11095.0	0.18491666666666667	0.11717772	0.3359222	1.1965474	-1.1526908	16.978756	1.3207046	18.954865	8.881653	0.0	0.015981663	0.0	-0.03966468	0.07402606	-0.014397509	242.33345	-50.180145	1.0320357	0.032720685	1.0	1.8382671	0.1206464	60000	82.68853306770325
2	0.29404706	0.9335576	2.6119301	-1.1132038	109.875	75.70079	265.0	0.0	1000.0	14434.0	0.16037777777777779	0.05268022	0.30464515	1.2377911	-0.7255792	17.631813	6.2096143	27.83249	-0.103824794	3.7252903e-08	-0.00059328973	6.7055225e-08	-0.0074697174	0.042354718	-0.0128118945	172.14215	-41.98908	1.0647564	0.031790614	1.0	1.8384856	0.009671433	90000	123.10444951057434
3	0.6641728	1.7271099	5.8466125	-1.8093828	103.125	79.37165	273.0	0.0	1000.0	17851.0	0.14875833333333333	0.04320085	0.24453892	0.75602907	-0.5675868	11.359644	4.737637	24.323547	-2.958107	-3.7252903e-08	0.001140194	-5.9604645e-08	-0.01756126	0.049655035	-0.0061703054	149.84413	-13.399285	1.096547	0.031374574	1.0	1.838476	0.036379974	120000	164.32318139076233
4	0.8924744	1.1311234	3.054357	-1.4376748	137.16667	79.41277	262.0	0.0	1000.0	21917.0	0.14611333333333335	0.08774922	0.2876998	0.86289674	-0.57651764	13.822504	5.3995104	28.170696	0.80139315	3.4458935e-08	-0.012946392	6.3329935e-08	-0.035868846	0.042936414	-0.013612694	189.6623	-16.246368	1.1279216	0.03236246	2.0	1.8386465	0.024738204	150000	204.87967658042908
5	0.47276106	0.8149046	2.8830347	-0.66676736	155.41667	101.22661	354.0	0.0	1000.0	26482.0	0.1471222222222222	0.061816927	0.1687148	0.6108464	-0.37562475	13.691923	2.7566211	27.975529	7.3878546	-5.2154064e-08	-0.0037034582	-8.940697e-08	-0.03026798	0.028117456	-0.0041820216	226.0576	-33.652203	1.160284	0.03341055	2.0	1.8392775	0.040886093	180000	245.82861256599426
6	0.42768988	0.97156376	2.4919724	-1.3708348	111.583336	104.71027	377.0	0.0	1000.0	29724.0	0.14154285714285714	0.039662298	0.18101925	0.5473596	-0.44005337	13.38525	5.599798	34.319786	-1.5440651	7.450581e-09	-0.006238964	-1.4901161e-08	-0.02664714	0.023862379	-0.00295975	256.5166	-29.600113	1.1936946	0.03344345	2.0	1.8397386	0.027249541	210000	286.37894225120544
7	0.429059	0.83604586	2.7529242	-1.5751084	95.291664	99.40133	317.0	0.0	1000.0	32535.0	0.1355625	0.032619856	0.13234374	0.45753688	-0.30674565	11.934245	6.9215198	40.69603	-0.7546711	1.4901161e-08	-0.0045336615	0.0	-0.022017468	0.020896025	-0.002167414	258.90668	-33.416122	1.227138	0.033096075	2.0	1.8397946	0.022990823	240000	326.89113664627075
8	0.57787615	1.0498078	2.185455	-1.9634105	76.958336	103.31645	452.0	0.0	1000.0	34683.0	0.12845555555555555	0.032749504	0.111627646	0.40703616	-0.2820126	8.551274	5.757387	41.019222	-6.49897	2.9802322e-08	-0.0028581424	5.9604645e-08	-0.028492976	0.029700793	-0.004181672	226.24565	-23.354052	1.2602341	0.032255173	2.0	1.8396177	0.04081385	270000	367.8470048904419
9	0.24602318	1.439587	3.4971938	-1.9363663	41.583332	75.85398	247.0	0.0	1000.0	35998.0	0.11999333333333333	0.025112085	0.07010199	0.3195876	-0.16823986	7.606932	3.9724987	18.106718	-4.07129	1.4901161e-08	-0.002549114	2.9802322e-08	-0.008597432	0.037546515	-0.006543001	158.04024	-27.965137	1.2924893	0.030078053	3.0	1.8392189	0.011045421	300000	408.5610866546631
