Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	1.3227085	2.8833075	9.926497	-2.1039717	39.166668	29.63341	92.0	0.0	1000.0	1223.0	0.040766666666666666	0.54192346	0.58023846	1.9936082	-1.2196317	-0.3715753	0.116815224	0.17250538	-0.7558662	7.543713e-08	0.0124290865	1.4528632e-07	-0.019372955	0.84709316	-0.6798366	58.05233	-24.931818	0.99999994	0.032027423	1.0	1.837877	0.05747441	30000	41.08226752281189
1	0.9464683	2.3081505	5.8988814	-2.7108421	34.875	33.359547	145.0	0.0	1000.0	2152.0	0.035866666666666665	0.13133503	0.42936796	1.4524215	-1.2600951	3.5882015	2.7513463	11.6340275	-2.2517672	2.2351742e-08	0.017977884	2.2351742e-08	-0.0013223402	0.16117088	-0.028379323	27.921825	-2.1952019	1.0320274	0.031900644	1.0	1.8390328	0.050170913	60000	80.55055475234985
2	0.9174591	2.333591	7.416751	-1.9287512	50.833332	39.95171	162.0	0.0	1000.0	3707.0	0.041188888888888886	0.10344518	0.41820922	1.6607518	-1.2139193	3.7155583	2.7659056	12.319216	-3.448638	-1.4901161e-08	0.0026420634	-1.4901161e-08	-0.0065617147	0.17663835	-0.024785383	52.539307	-7.4776344	1.063928	0.031578302	1.0	1.8398747	0.018367989	90000	120.58115005493164
3	1.6050926	2.7132902	7.6524105	-2.757235	50.875	41.021652	157.0	0.0	1000.0	5121.0	0.042675	0.120357744	0.48620108	1.7621427	-1.3777485	4.6344237	3.4914591	19.514227	-2.4627092	-1.4901161e-08	-0.0021030959	-1.4901161e-08	-0.007709859	0.21406686	-0.02553258	40.004333	-5.1428223	1.0955063	0.03287983	3.0	1.840717	0.009148633	120000	160.74358010292053
4	0.16192548	2.461488	6.1422668	-3.6226258	46.416668	31.82755	110.0	0.0	1000.0	6413.0	0.04275333333333333	0.09708738	0.4941841	1.695124	-1.4118979	4.175664	3.6260011	23.196	-0.39649677	0.0	-0.011178203	1.4901161e-08	-0.027802499	0.1751702	-0.035019137	34.31479	-6.224927	1.1283861	0.035078883	22.0	1.8406303	0.013070317	150000	203.01675701141357
5	0.14843385	1.9777678	5.6319323	-2.4079275	47.25	43.322674	161.0	0.0	1000.0	7886.0	0.04381111111111111	0.036446746	0.49202117	2.3603673	-1.7445279	5.145242	3.3557541	21.551235	-2.6567914	3.7252903e-08	-0.0034917754	6.7055225e-08	-0.013198109	0.19093254	-0.04424531	50.738724	-10.139337	1.163465	0.034524083	2.0	1.8413625	0.0147642605	180000	244.4348361492157
6	0.41289163	1.9235786	4.8043413	-3.2466621	40.0	43.65776	152.0	0.0	1000.0	9060.0	0.04314285714285714	0.036558285	0.51909745	1.5538145	-1.6168443	3.8719487	3.8153925	25.269125	-4.292398	-1.8626451e-08	-0.0019961884	-3.7252903e-08	-0.010964596	0.15696964	-0.023029707	36.98394	-8.594262	1.1979891	0.03441	2.0	1.8415016	0.013276687	210000	285.7618176937103
7	0.35261393	2.9051847	6.145058	-4.6268616	35.666668	32.479053	135.0	0.0	1000.0	10142.0	0.042258333333333335	0.1031881	0.49247465	1.7362853	-1.3612157	4.171568	3.6848662	24.719786	-2.3244696	1.8626451e-09	-0.0034362813	-1.4901161e-08	-0.0068182833	0.21036041	-0.0454172	25.448662	-5.813614	1.2323991	0.03376198	4.0	1.8414226	0.007377641	240000	328.0936481952667
8	0.3634433	2.6542833	7.4329677	-2.717525	43.5	33.148655	121.0	0.0	1000.0	11452.0	0.042414814814814815	0.06804499	0.5540973	1.7144789	-1.6228474	4.421254	3.6819909	25.76671	-1.95385	1.1175871e-08	-0.0024820876	2.7939677e-09	-0.007616285	0.18239516	-0.053446963	33.26717	-6.785633	1.2661611	0.034338474	2.0	1.8415439	0.005859579	270000	369.5210192203522
9	0.25754133	1.7581784	5.091654	-2.1245124	40.291668	39.003716	132.0	0.0	1000.0	12713.0	0.04237666666666667	0.02728852	0.54868376	1.6152555	-1.9140395	4.4163146	4.2758055	29.789467	-0.9996421	1.4901161e-08	-0.010433681	1.1175871e-08	-0.021751765	0.12817287	-0.03776878	33.960373	-7.913172	1.3004996	0.035333753	15.0	1.8415847	0.012337312	300000	412.3131983280182
10	0.65791863	3.0799353	9.268514	-3.5036979	41.083332	36.408466	122.0	0.0	1000.0	14142.0	0.04285454545454546	0.103075676	0.5481064	1.6260087	-1.5030326	5.0311494	5.0162888	37.283	-1.8877163	3.7252903e-09	-0.005962141	1.4901161e-08	-0.016644884	0.22367485	-0.051356338	41.344112	-13.83037	1.3358333	0.035455704	7.0	1.841522	0.015184404	330000	455.7050085067749
11	1.1445827	2.9028654	7.2925177	-3.4808064	55.041668	43.474586	167.0	0.0	1000.0	15676.0	0.04354444444444444	0.11341397	0.59248894	2.1299355	-1.7246104	4.1895356	4.5067635	42.151764	-5.0649543	2.9802322e-08	-0.0035433238	4.4703484e-08	-0.015350249	0.19240357	-0.042964924	45.586796	-15.49338	1.371289	0.036673546	2.0	1.8409765	0.018053638	360000	497.60358929634094
