Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.15256807	1.7509558	5.3982205	-3.4451265	14.1	16.083843	61.0	0.0	1000.0	423.0	0.0141	0.5994599	0.56190324	1.9981493	-1.1331493	-0.43130884	0.11705207	0.072100006	-0.813013	-1.8310546e-08	0.019461142	-2.8483074e-08	-0.0047317636	0.9026953	-0.7709112	10.98876	-3.9209256	0.99999994	-0.031173289	1.0	1.837877	0.057470005	30000	70.08038306236267
1	1.053389	2.5431566	10.309924	-1.6510985	15.133333	16.345709	65.0	0.0	1000.0	877.0	0.014616666666666667	0.16552953	0.42674392	1.3904846	-1.2297685	1.010487	1.0008746	4.609906	-0.9011121	1.6147188e-08	0.020811204	2.4414062e-08	0.0023906494	0.17870757	-0.039451554	7.037007	-1.0340257	0.96882665	-0.030385256	1.0	1.8378217	0.0522548	60000	139.6420910358429
2	0.8292195	1.9761078	5.3477473	-2.9789023	16.433332	18.282385	60.0	0.0	1000.0	1370.0	0.015222222222222222	0.12936926	0.42155403	1.3675144	-1.0852256	1.8433325	1.5678194	8.188345	-1.9867585	-6.5557804e-09	0.00031581445	8.138021e-09	-0.0016492666	0.16217093	-0.01795195	8.508702	-1.2359343	0.9384414	-0.029556513	1.0	1.8379538	0.0066292505	90000	219.7530915737152
3	2.1756952	2.9380887	9.290948	-1.5026094	25.233334	21.160788	77.0	0.0	1000.0	2127.0	0.017725	0.12351226	0.4975465	1.5516268	-1.1794046	1.8197067	1.2743148	8.908939	-0.63703746	2.2670893e-08	-0.01047236	1.6276042e-08	-0.01832116	0.19943088	-0.030007273	11.766718	-2.9682846	0.9088849	-0.019512892	79.0	1.83813	0.009738562	120000	307.3976261615753
4	2.9614227	4.1921525	13.963869	-1.8974588	19.4	18.521338	67.0	0.0	1000.0	2709.0	0.01806	0.23335156	0.51683855	1.5379161	-1.2297051	2.448434	2.3623292	13.692317	-3.1789489	-6.7038273e-09	0.000546318	-1.4241537e-08	0.0018623697	0.291155	-0.031139731	10.596912	-2.6227937	0.889372	-0.023467243	2.0	1.8136942	0.005259195	150000	387.3986749649048
5	2.5404882	2.6608903	10.379587	-1.6517931	23.166666	19.63684	68.0	0.0	1000.0	3404.0	0.01891111111111111	0.31188878	0.5609463	1.9056189	-1.296391	2.5962389	2.1033318	15.934631	-1.7449844	-1.6073441e-08	-0.0030789988	-2.2888184e-08	-0.0050727916	0.17088963	-0.03050682	11.542817	-3.0863228	0.86590475	-0.021329522	2.0	1.8128811	0.005003992	180000	467.2026033401489
6	2.8325565	3.864281	10.956755	-1.965459	18.0	17.625738	69.0	0.0	1000.0	3944.0	0.01878095238095238	0.26678324	0.50344676	1.79127	-1.1513845	1.9397068	1.8348016	15.107811	-1.577939	-8.34507e-10	-0.010263303	-1.6276042e-08	-0.020522261	0.23239645	-0.046172336	9.244002	-2.2511182	0.8445752	-0.015117407	77.0	1.8120313	0.012030788	210000	556.3010563850403
7	3.3514566	3.3608286	13.19097	-1.4729564	18.933332	15.037582	51.0	0.0	1000.0	4512.0	0.0188	0.36665237	0.59467316	2.2164135	-1.380486	1.7906079	1.5470825	13.042826	-1.1045241	-2.116404e-09	-0.007115831	-7.1207684e-09	-0.015116246	0.30513123	-0.07973586	8.51428	-1.5192657	0.8294578	-0.017627716	62.0	1.790344	0.010547303	240000	642.0702347755432
8	3.4848723	2.603699	8.787251	-1.1784778	26.7	16.577394	71.0	2.0	1000.0	5313.0	0.019677777777777777	0.39661264	0.5940266	2.3609362	-1.314991	2.2247663	1.7639267	14.052429	-1.4772007	-1.0100089e-08	-0.011532483	-1.6276042e-08	-0.025292758	0.21292637	-0.059243888	11.960042	-2.2681646	0.8118301	-0.00726223	72.0	1.7785766	0.012024429	270000	728.8577871322632
9	3.2747238	3.0875418	8.058071	-2.2810779	18.933332	18.683207	67.0	0.0	1000.0	5881.0	0.019603333333333334	0.39545566	0.512509	1.6232384	-1.2017695	2.3548174	1.8664583	16.560663	-0.7950486	-1.1753489e-08	0.004315628	-1.1189779e-08	0.003556009	0.21394552	-0.04238367	8.625744	-1.7931156	0.8045679	-0.019149303	2.0	1.78215	0.013134937	300000	808.8308539390564
