Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.15256807	1.7509558	5.3982205	-3.4451265	14.1	16.083843	61.0	0.0	1000.0	423.0	0.0141	0.5994599	0.56190324	1.9981493	-1.1331493	-0.43130884	0.11705207	0.072100006	-0.813013	-1.8310546e-08	0.019461142	-2.8483074e-08	-0.0047317636	0.9026953	-0.7709112	10.98876	-3.9209256	0.99999994	-0.031173289	1.0	1.837877	0.057470005	30000	72.43863010406494
1	1.053389	2.5431566	10.309924	-1.6510985	15.133333	16.345709	65.0	0.0	1000.0	877.0	0.014616666666666667	0.16552953	0.42674392	1.3904846	-1.2297685	1.010487	1.0008746	4.609906	-0.9011121	1.6147188e-08	0.020811204	2.4414062e-08	0.0023906494	0.17870757	-0.039451554	7.037007	-1.0340257	0.96882665	-0.030385256	1.0	1.8378217	0.0522548	60000	142.90450620651245
2	0.8292195	1.9761078	5.3477473	-2.9789023	16.433332	18.282385	60.0	0.0	1000.0	1370.0	0.015222222222222222	0.12936926	0.42155403	1.3675144	-1.0852256	1.8433325	1.5678194	8.188345	-1.9867585	-6.5557804e-09	0.00031581445	8.138021e-09	-0.0016492666	0.16217093	-0.01795195	8.508702	-1.2359343	0.9384414	-0.029556513	1.0	1.8379538	0.0066292505	90000	212.65423011779785
3	2.1756952	2.9380887	9.290948	-1.5026094	25.233334	21.160788	77.0	0.0	1000.0	2127.0	0.017725	0.12351226	0.4975465	1.5516268	-1.1794046	1.8197067	1.2743148	8.908939	-0.63703746	2.2670893e-08	-0.01047236	1.6276042e-08	-0.01832116	0.19943088	-0.030007273	11.766718	-2.9682846	0.9088849	-0.019512892	79.0	1.83813	0.009738562	120000	291.6286041736603
4	2.9614227	4.1921525	13.963869	-1.8974588	19.4	18.521338	67.0	0.0	1000.0	2709.0	0.01806	0.23335156	0.51683855	1.5379161	-1.2297051	2.448434	2.3623292	13.692317	-3.1789489	-6.7038273e-09	0.000546318	-1.4241537e-08	0.0018623697	0.291155	-0.031139731	10.596912	-2.6227937	0.889372	-0.023467243	2.0	1.8136942	0.005259195	150000	361.8076128959656
5	2.5404882	2.6608903	10.379587	-1.6517931	23.166666	19.63684	68.0	0.0	1000.0	3404.0	0.01891111111111111	0.31188878	0.5609463	1.9056189	-1.296391	2.5962389	2.1033318	15.934631	-1.7449844	-1.6073441e-08	-0.0030789988	-2.2888184e-08	-0.0050727916	0.17088963	-0.03050682	11.542817	-3.0863228	0.86590475	-0.021329522	2.0	1.8128811	0.005003992	180000	432.16095495224
6	2.8325565	3.864281	10.956755	-1.965459	18.0	17.625738	69.0	0.0	1000.0	3944.0	0.01878095238095238	0.26678324	0.50344676	1.79127	-1.1513845	1.9397068	1.8348016	15.107811	-1.577939	-8.34507e-10	-0.010263303	-1.6276042e-08	-0.020522261	0.23239645	-0.046172336	9.244002	-2.2511182	0.8445752	-0.015117407	77.0	1.8120313	0.012030788	210000	510.36859226226807
7	3.3514566	3.3608286	13.19097	-1.4729564	18.933332	15.037582	51.0	0.0	1000.0	4512.0	0.0188	0.36665237	0.59467316	2.2164135	-1.380486	1.7906079	1.5470825	13.042826	-1.1045241	-2.116404e-09	-0.007115831	-7.1207684e-09	-0.015116246	0.30513123	-0.07973586	8.51428	-1.5192657	0.8294578	-0.017627716	62.0	1.790344	0.010547303	240000	588.7043995857239
8	3.4848723	2.603699	8.787251	-1.1784778	26.7	16.577394	71.0	2.0	1000.0	5313.0	0.019677777777777777	0.39661264	0.5940266	2.3609362	-1.314991	2.2247663	1.7639267	14.052429	-1.4772007	-1.0100089e-08	-0.011532483	-1.6276042e-08	-0.025292758	0.21292637	-0.059243888	11.960042	-2.2681646	0.8118301	-0.00726223	72.0	1.7785766	0.012024429	270000	666.1915936470032
9	3.2747238	3.0875418	8.058071	-2.2810779	18.933332	18.683207	67.0	0.0	1000.0	5881.0	0.019603333333333334	0.39545566	0.512509	1.6232384	-1.2017695	2.3548174	1.8664583	16.560663	-0.7950486	-1.1753489e-08	0.004315628	-1.1189779e-08	0.003556009	0.21394552	-0.04238367	8.625744	-1.7931156	0.8045679	-0.019149303	2.0	1.78215	0.013134937	300000	736.9968178272247
10	4.350934	3.07407	10.143059	-1.0104203	26.866667	24.18227	112.0	0.0	1000.0	6687.0	0.020263636363636362	0.37896174	0.5781572	1.898983	-1.1461515	2.2477283	2.1672347	19.13679	-1.1607212	-3.6606937e-09	0.0060067317	-1.2207031e-08	-0.006514128	0.2231396	-0.074047	16.547523	-5.2179804	0.78541857	-0.015896797	1.0	1.7817245	0.021127641	330000	807.3864252567291
11	4.475242	3.4020216	10.074114	-1.5408725	27.8	18.409058	66.0	0.0	1000.0	7521.0	0.020891666666666666	0.50595784	0.6031255	2.314871	-1.134256	2.6171448	2.397571	23.87376	-0.8469065	1.9011043e-08	-0.0005995494	4.2724608e-08	-0.0016376546	0.25739017	-0.0756025	12.25195	-3.9727287	0.7695218	-0.01225239	1.0	1.7814593	0.0034205536	360000	878.1656110286713
12	4.082198	3.6244822	9.636711	-2.407123	18.8	15.518591	56.0	0.0	1000.0	8085.0	0.02073076923076923	0.46564323	0.58006173	2.1507168	-1.004038	2.6333787	2.4544866	23.295616	-2.0785503	-9.329451e-09	0.0012125652	-1.6276042e-08	-0.0033529664	0.2451088	-0.055585787	8.972181	-3.4575543	0.7572694	-0.013934791	1.0	1.7810328	0.015002309	390000	949.8149423599243
13	5.2877707	4.023503	15.10416	-0.8360381	24.566668	15.437364	61.0	0.0	1000.0	8822.0	0.021004761904761905	0.4927052	0.678271	2.0854301	-1.2732238	2.2731729	1.8260351	15.287199	-1.2334191	-6.387492e-09	-0.0003169778	-8.138021e-09	-0.00023476563	0.2264626	-0.038519144	11.490551	-2.653386	0.7433346	-0.012640178	1.0	1.7809656	0.002376173	420000	1020.7955470085144
14	4.4398413	3.2611318	11.387456	-1.6433426	19.5	17.417902	79.0	0.0	1000.0	9407.0	0.020904444444444444	0.5257582	0.63542265	2.2387094	-1.1660384	2.5373008	2.1848907	18.343496	-0.9665446	5.380721e-09	-0.0008537215	-8.138021e-09	-0.0014368347	0.19047959	-0.03302324	9.164011	-2.694147	0.7306944	-0.01393801	1.0	1.781172	0.0045892494	450000	1092.2032256126404
15	5.375585	3.352592	12.6934395	-0.10426442	22.6	14.734541	50.0	0.0	1000.0	10085.0	0.021010416666666667	0.5181949	0.5798805	1.8334435	-1.122178	2.0613213	2.152678	23.57172	-1.7613833	1.408395e-08	-0.0012432456	2.2379558e-08	-0.00071221514	0.18841726	-0.04030752	9.319	-2.2110486	0.7167564	-0.0136624575	1.0	1.781381	0.0039235153	480000	1163.7707116603851
