Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.31396297	0.94169456	1.1180116	-3.289525	9.708333	11.099847	42.0	0.0	1000.0	284.0	0.009466666666666667	0.75101465	0.50749445	2.056388	-1.1057891	-0.33255088	0.1215225	0.30186218	-0.8893298	-1.1175871e-08	0.016398784	-3.7252903e-09	-0.0034621581	0.9518073	-0.84839934	6.4181037	-2.4368317	0.99999994	-0.031175494	1.0	1.837877	0.046225093	30000	25.98779845237732
1	-0.27591866	0.9558786	1.79303	-2.6368673	10.833333	12.889488	42.0	0.0	1000.0	635.0	0.010583333333333333	0.07551291	0.31830466	0.8612156	-1.1281993	0.6445381	0.88796973	4.53395	-1.825746	-1.3969839e-08	0.028333211	-2.561137e-08	-0.0012571306	0.11150663	-0.029242476	6.9854784	-1.4878112	0.96882445	-0.030410647	1.0	1.8389707	0.08257678	60000	50.50246071815491
2	0.012001167	0.9076484	2.303119	-1.8855826	3.3333333	5.5652695	19.0	0.0	1000.0	763.0	0.008477777777777779	-0.033080474	0.38717005	0.687497	-1.0946281	1.1265639	1.3509704	8.066276	-2.2470937	-1.8626451e-09	0.0006544356	7.450581e-09	0.0001234058	0.07114084	-0.01381761	2.8318877	-1.0047433	0.9384138	-0.029770851	1.0	1.8397744	0.006014007	90000	75.21308279037476
3	-0.25972733	0.93914014	1.492872	-3.0608346	8.666667	9.927515	37.0	0.0	1000.0	1046.0	0.008716666666666666	-0.013449197	0.31358036	0.5122557	-0.92057914	0.7938133	0.6343514	3.7115633	-0.9190442	3.7252903e-09	-0.00025233364	3.7252903e-09	-0.0003701565	0.055798557	-0.0111094825	3.2650888	-0.34659803	0.90864295	-0.029180586	1.0	1.8404605	0.006953558	120000	100.09269690513611
4	-0.24619181	0.716919	1.1017555	-1.8587841	9.041667	10.941051	43.0	0.0	1000.0	1303.0	0.008686666666666667	-0.024888242	0.36125588	0.60843635	-0.94208574	1.0790397	0.92924917	5.0167027	-0.92144305	1.3038516e-08	-0.0068431003	4.656613e-09	-0.006878506	0.042488445	-0.010772392	4.156597	-0.6978823	0.87946236	-0.02810514	79.0	1.84102	0.0075797425	150000	132.50947642326355
5	0.032666583	1.2188469	3.0743334	-1.929901	6.5416665	12.698358	55.0	0.0	1000.0	1500.0	0.008333333333333333	-0.02836991	0.34094593	0.5978859	-0.9009769	0.6871062	0.8315011	5.1955175	-1.4944187	0.0	-0.007523691	-4.656613e-09	-0.008020245	0.06910811	-0.0073564816	3.193677	-0.95073366	0.8513572	-0.028476179	79.0	1.8211944	0.007849035	180000	164.88323855400085
6	-0.16060598	0.8211772	1.9907904	-1.770956	6.1666665	11.742611	48.0	0.0	1000.0	1691.0	0.008052380952380953	0.026687894	0.3434556	0.74294245	-0.9500924	0.69921964	1.2859584	8.820268	-2.0718782	1.8626451e-09	-0.007674959	-9.313226e-10	-0.008735871	0.062717974	-0.013676114	3.7193418	-1.7259731	0.82288104	-0.026328385	79.0	1.8100455	0.0066940393	210000	197.18122339248657
7	-0.041187834	1.3555434	2.6122243	-3.2286441	8.416667	11.793065	51.0	0.0	1000.0	1986.0	0.008275	-0.0071221883	0.3312985	0.64061713	-0.96827894	0.6401855	1.0241414	10.337391	-1.5424157	-9.313226e-09	-0.008516204	-3.7252903e-09	-0.012746666	0.0737077	-0.020734176	4.415824	-1.494066	0.79655266	-0.024069548	79.0	1.7952242	0.011083513	240000	229.47304558753967
8	0.07098563	0.9424166	2.953388	-1.6393504	8.791667	13.057499	55.0	0.0	1000.0	2222.0	0.00822962962962963	0.014562299	0.31565022	0.86871773	-0.876637	0.8207782	1.429285	14.626794	-1.0464336	0.0	-0.0016647702	-3.7252903e-09	-0.002532543	0.064933226	-0.013023026	3.1577573	-0.82689065	0.7724831	-0.025846064	11.0	1.7741673	0.00882403	270000	255.31070971488953
9	0.005406638	1.2778113	2.2687843	-2.9259474	2.9583333	5.6603827	22.0	0.0	1000.0	2346.0	0.00782	0.041729495	0.32984942	0.85349977	-1.1059668	0.78294975	0.9721621	11.400116	-1.1746398	-7.450581e-09	0.011869442	-3.7252903e-09	-0.0018821901	0.06468223	-0.017640557	2.5639453	-1.3139472	0.74663705	-0.026059091	1.0	1.7688382	0.030428596	300000	280.6889543533325
10	0.21423364	1.1277831	2.8526704	-1.833873	6.9583335	9.804248	46.0	0.0	1000.0	2589.0	0.007845454545454546	0.036941968	0.31288275	0.77705854	-0.98484826	0.47615325	1.1378307	14.36633	-1.4403119	4.656613e-09	0.00049704104	-1.4901161e-08	-0.0020437925	0.057241	-0.016360495	3.1880229	-1.0753639	0.72057796	-0.02531588	1.0	1.7677405	0.0071066367	330000	305.6829080581665
11	0.42955044	1.2280034	3.5884044	-2.6136603	16.625	18.513086	54.0	0.0	1000.0	3043.0	0.008452777777777778	0.086538166	0.3307445	0.8772454	-0.8841553	0.91316354	1.7057614	16.315899	-1.0816816	3.7252903e-09	-0.00015267683	0.0	-0.0010160995	0.07292716	-0.021865476	6.6649213	-2.6399813	0.6952621	-0.023546278	1.0	1.7669786	0.0037325332	360000	330.7658100128174
