Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.11091397	1.8451788	5.299952	-3.4666533	9.541667	11.228606	34.0	0.0	1000.0	313.0	0.010433333333333333	0.61489683	0.56757003	2.0035765	-1.1556758	-0.42519206	0.116713464	0.12349224	-0.84417236	-5.5879354e-09	0.0111128	-1.3038516e-08	-0.008031653	0.89271283	-0.7689213	7.619627	-2.7860966	0.99999994	-0.031173766	1.0	1.837877	0.04124036	30000	26.64614963531494
1	1.3050247	2.3944762	6.69941	-1.9652835	11.166667	16.05892	56.0	0.0	1000.0	686.0	0.011433333333333334	0.15998498	0.4304706	1.2762674	-1.1026622	0.94865596	1.046095	4.3689814	-1.7072861	-9.313226e-10	0.033759996	-2.7939677e-09	-0.0021690791	0.15562654	-0.027175512	7.34602	-0.66832393	0.9688262	-0.030365825	1.0	1.837703	0.10074793	60000	52.18243408203125
2	0.23723368	2.5211596	8.69866	-2.3212783	11.541667	12.469894	40.0	0.0	1000.0	989.0	0.010988888888888888	0.11501214	0.4560121	1.5017692	-1.1977	1.083727	1.2661932	6.26994	-1.6603546	3.7252903e-09	-0.0010697499	-1.4901161e-08	-0.0009472474	0.12980565	-0.015397545	5.0075183	-0.83843064	0.93846035	-0.029484868	5.0	1.8381436	0.0022001292	90000	77.52896857261658
3	0.5764414	2.4718547	9.22812	-2.2919	8.166667	16.061514	58.0	0.0	1000.0	1450.0	0.012083333333333333	0.10097674	0.4402797	1.864121	-1.1146202	1.3901182	1.3394492	8.2255	-1.178515	-1.8626451e-09	-0.008730695	5.5879354e-09	-0.01563572	0.09351431	-0.010239347	12.650317	-4.392859	0.9089755	-0.026415229	79.0	1.8386862	0.009158238	120000	110.62484550476074
4	0.9024455	2.0965502	6.4053965	-2.4066775	24.583334	39.488304	141.0	0.0	1000.0	2128.0	0.014186666666666667	0.17009564	0.5573554	1.9324898	-1.1517738	2.115998	3.3030658	19.44624	-1.3837352	-7.450581e-09	-0.0019021744	-1.1175871e-08	-0.0032672475	0.15539673	-0.050163537	16.873203	-5.352169	0.88256025	-0.024551809	2.0	1.8315947	0.0034636233	150000	135.943500995636
5	1.7354283	2.6258225	11.539473	-0.9069223	24.5	22.51851	82.0	0.0	1000.0	2724.0	0.015133333333333334	0.10785646	0.4270662	1.4193635	-1.0239425	2.57644	2.9019997	23.2611	-2.3669662	-2.7939677e-09	0.0043727127	-1.1175871e-08	-0.0016787634	0.16809544	-0.028353255	9.191811	-2.6029434	0.85800844	-0.021003962	3.0	1.8310895	0.019600475	180000	161.29024386405945
6	1.7181197	2.059741	7.4888473	-1.42393	17.416666	26.92879	121.0	0.0	1000.0	3211.0	0.015290476190476191	0.16166693	0.4770388	1.6401243	-0.9992705	2.554066	2.4004183	19.374294	-1.5267196	1.1175871e-08	0.0009973441	2.2351742e-08	-0.0034143066	0.08971539	-0.013861625	10.364711	-3.457867	0.8370045	-0.021056116	1.0	1.8302194	0.011410635	210000	186.5259828567505
7	1.357232	2.2017827	8.789237	-1.5544572	19.666666	38.085064	131.0	0.0	1000.0	3718.0	0.015491666666666667	0.17092447	0.47563004	1.5707039	-0.9172554	1.8504865	2.1816988	21.220959	-1.0872241	-2.9802322e-08	-0.00092175463	-5.2154064e-08	-0.00093806046	0.09026475	-0.012329504	15.048049	-4.986019	0.81594837	-0.020287693	1.0	1.8299046	0.002693058	240000	211.79625940322876
8	1.4912963	2.7373462	9.549021	-1.5227289	17.791666	28.169104	109.0	0.0	1000.0	4233.0	0.015677777777777777	0.1355536	0.4255343	1.5841054	-0.856892	1.5165412	1.8926024	24.290691	-2.2011368	-1.4901161e-08	-0.0010059734	-7.450581e-09	-0.00075092586	0.11442354	-0.0139366165	10.493863	-3.7272522	0.7956607	-0.020236015	1.0	1.8300065	0.0017529924	270000	237.0862112045288
9	1.708866	3.0916388	10.977785	-1.8484393	29.583334	33.877125	109.0	0.0	1000.0	5004.0	0.01668	0.18669173	0.47809514	1.8204453	-0.8920892	2.3348854	2.8294408	22.097918	-3.0393205	3.7252903e-09	-0.00073056505	7.450581e-09	-0.001233534	0.111510396	-0.022795953	15.514735	-6.836013	0.77542466	-0.015763938	1.0	1.8300724	0.00047781432	300000	262.65487718582153
